,TRAVEL_ID,X_COORD_Mean,Y_COORD_Mean,TRAVEL_START_YMD,TRAVEL_END_YMD,VISIT_AREA_NM,Visit_Latitude,Visit_Longitude,cluster
0,a_a002976,33.46923949750551,126.6998467041982,2022-10-19,2022-10-24,찰리호텔,33.50095053,126.5196087,258
1,a_a002976,33.46923949750551,126.6998467041982,2022-10-19,2022-10-24,제주국제공항,33.50707896,126.492769,258
2,a_a002976,33.46923949750551,126.6998467041982,2022-10-19,2022-10-24,봄그리고가을리조트,33.47414532,126.911019,258
3,a_a002976,33.46923949750551,126.6998467041982,2022-10-19,2022-10-24,우도,33.50441997,126.9555823,258
6,a_a002976,33.46923949750551,126.6998467041982,2022-10-19,2022-10-24,함덕해수욕장,33.54306157,126.6692389,258
7,a_a002976,33.46923949750551,126.6998467041982,2022-10-19,2022-10-24,천지연폭포,33.24721232,126.5545223,258
9,a_a002976,33.46923949750551,126.6998467041982,2022-10-19,2022-10-24,제주국제공항,33.50707896,126.492769,258
10,a_a002976,33.46923949750551,126.6998467041982,2022-10-19,2022-10-24,하갈비,33.46433159,126.3089829,258
11,a_a002976,33.46923949750551,126.6998467041982,2022-10-19,2022-10-24,찰리호텔,33.50095053,126.5196087,258
12,a_a002976,33.46923949750551,126.6998467041982,2022-10-19,2022-10-24,제주김만복 본점,33.4970354,126.5089219,258
13,a_a002976,33.46923949750551,126.6998467041982,2022-10-19,2022-10-24,봄그리고가을리조트,33.47414532,126.911019,258
14,a_a002976,33.46923949750551,126.6998467041982,2022-10-19,2022-10-24,산굼부리,33.43257409,126.693832,258
15,a_a002976,33.46923949750551,126.6998467041982,2022-10-19,2022-10-24,제주옹기정원 야원,33.46950161,126.6650563,258
16,a_a002976,33.46923949750551,126.6998467041982,2022-10-19,2022-10-24,꿀봉,33.35903401,126.2963305,258
17,a_a002976,33.46923949750551,126.6998467041982,2022-10-19,2022-10-24,스누피가든,33.44335922,126.7796675,258
18,a_a002976,33.46923949750551,126.6998467041982,2022-10-19,2022-10-24,성산봄죽칼국수 성산점,33.47168274,126.9171085,258
19,a_a002976,33.46923949750551,126.6998467041982,2022-10-19,2022-10-24,제주동문시장,33.51278396,126.5283034,258
20,a_a002976,33.46923949750551,126.6998467041982,2022-10-19,2022-10-24,사려니숲길,33.42203283,126.6264973,258
21,a_a002976,33.46923949750551,126.6998467041982,2022-10-19,2022-10-24,성산포항,33.47345966,126.9332938,258
22,a_a006612,33.44066288614719,126.69861973333333,2022-10-22,2022-10-23,목장카페 밭디,33.40789977,126.7722168,186
23,d_d000020,33.481795147232944,126.6700587689511,2022-08-05,2022-08-10,오션스위츠 제주호텔,33.51813749,126.5230927,146
24,d_d000020,33.481795147232944,126.6700587689511,2022-08-05,2022-08-10,금호제주리조트,33.27324563,126.7018417,146
25,d_d000020,33.481795147232944,126.6700587689511,2022-08-05,2022-08-10,베케,33.26191692,126.6049215,146
